Register,Value
R1,ARF1
R2,ARF2
R3,ARF3
R4,ARF4
R5,ARF5
R6,ARF6
R7,ARF7
R8,ARF8
R9,ARF9
R10,ARF10
R11,ARF11
R12,ARF12
R13,ARF13
R14,ARF14
R15,ARF15
R16,ARF16
R17,ARF17
R18,ARF18
R19,ARF19
R20,ARF20
R21,ARF21
R22,ARF22
R23,ARF23
R24,ARF24
R25,ARF25
R26,ARF26
R27,ARF27
R28,ARF28
R29,ARF29
R30,ARF30
R31,ARF31
R32,ARF32
F1,ARF33
F2,ARF34
F3,ARF35
F4,ARF36
F5,ARF37
F6,ARF38
F7,ARF39
F8,ARF40
F9,ARF41
F10,ARF42
F11,ARF43
F12,ARF44
F13,ARF45
F14,ARF46
F15,ARF47
F16,ARF48
F17,ARF49
F18,ARF50
F19,ARF51
F20,ARF52
F21,ARF53
F22,ARF54
F23,ARF55
F24,ARF56
F25,ARF57
F26,ARF58
F27,ARF59
F28,ARF60
F29,ARF61
F30,ARF62
F31,ARF63
F32,ARF64
